,fpr_cbc,tpr_cbc,thresholds_cbc
0,0.0,0.0,1.999409303054491
1,0.0,0.0005053057099545225,0.999409303054491
2,0.0,0.024759979787771603,0.9808116013035663
3,4.7732696897374704e-05,0.024759979787771603,0.9807194732152553
4,4.7732696897374704e-05,0.0404244567963618,0.9694082329837362
5,9.546539379474941e-05,0.0404244567963618,0.9686990479450329
6,9.546539379474941e-05,0.05406771096513391,0.9541171436781107
7,0.00019093078758949882,0.05406771096513391,0.950777615845906
8,0.00019093078758949882,0.07023749368367863,0.9329418433597055
9,0.00023866348448687351,0.07023749368367863,0.9326925349367452
10,0.00023866348448687351,0.07326932794340577,0.9314885840563526
11,0.0002863961813842482,0.07326932794340577,0.9313340899233677
12,0.0002863961813842482,0.08438605356240525,0.9169466309156212
13,0.00033412887828162294,0.08438605356240525,0.916656363755968
14,0.00033412887828162294,0.0853966649823143,0.916216004651912
15,0.00038186157517899763,0.0853966649823143,0.9146382159343269
16,0.00038186157517899763,0.09499747347145023,0.904891622104916
17,0.00042959427207637233,0.09499747347145023,0.904467231672516
18,0.00042959427207637233,0.09550277918140475,0.903983491029254
19,0.00047732696897374703,0.09550277918140475,0.9039548684508338
20,0.00047732696897374703,0.0965133906013138,0.9033845932454936
21,0.0005250596658711217,0.0965133906013138,0.9030684640739571
22,0.0005250596658711217,0.09802930773117736,0.9014029871217528
23,0.0005727923627684964,0.09802930773117736,0.9013434003765967
24,0.0005727923627684964,0.10106114199090449,0.8977636765562901
25,0.0006205250596658711,0.10106114199090449,0.8976717367430842
26,0.0006205250596658711,0.10257705912076806,0.8941915202734795
27,0.0006682577565632459,0.10257705912076806,0.8930880997729879
28,0.0006682577565632459,0.10914603335017686,0.8860048422408675
29,0.0007159904534606205,0.10914603335017686,0.8852143523204234
30,0.0007159904534606205,0.12278928751894896,0.8657608063197547
31,0.0007637231503579953,0.12278928751894896,0.8655531187195582
32,0.0007637231503579953,0.12733703890853967,0.8613417035497931
33,0.0008114558472553699,0.12733703890853967,0.8612706944517695
34,0.0008114558472553699,0.12834765032844872,0.8599212344151649
35,0.0009069212410501193,0.12834765032844872,0.8578760104807247
36,0.0009069212410501193,0.1303688731682668,0.8549274056613231
37,0.0009546539379474941,0.1303688731682668,0.8545826432459545
